feature,importance,group
categorical__team_010,0.0,team
categorical__team_0123,0.0,team
categorical__team_0Zer,0.0,team
categorical__team_1000,0.0,team
categorical__team_100T,0.0,team
categorical__team_100p,0.0,team
categorical__team_100su,0.0,team
categorical__team_105,0.0,team
categorical__team_1234,0.0,team
categorical__team_123T,0.0,team
categorical__team_1337,0.0,team
categorical__team_15 K,0.0,team
categorical__team_1620,0.0,team
categorical__team_18A,0.0,team
categorical__team_19,0.0,team
categorical__team_1N,0.0,team
categorical__team_1Per,0.0,team
categorical__team_1R,0.0,team
categorical__team_1TK,0.0,team
categorical__team_1VR,0.0,team
categorical__team_1gam,0.0,team
categorical__team_1zk,0.0,team
categorical__team_21S,0.0,team
categorical__team_24/H,0.0,team
categorical__team_2K E,0.0,team
categorical__team_2V5,0.0,team
categorical__team_2red,0.0,team
categorical__team_300S,0.0,team
categorical__team_303,0.0,team
categorical__team_312,0.0,team
categorical__team_325,0.0,team
categorical__team_36NU,0.0,team
categorical__team_3G,0.0,team
categorical__team_3P,0.0,team
categorical__team_4 ru,0.0,team
categorical__team_404,0.0,team
categorical__team_41rk,0.0,team
categorical__team_47,0.0,team
categorical__team_481,0.0,team
categorical__team_4G,0.0,team
categorical__team_4SV_,0.0,team
categorical__team_5 Fi,0.0,team
categorical__team_5 GO,0.0,team
categorical__team_5 Th,0.0,team
categorical__team_5 Yu,0.0,team
categorical__team_5 ba,0.0,team
categorical__team_5 ho,0.0,team
categorical__team_50Fr,0.0,team
categorical__team_50k,0.0,team
categorical__team_57RBB,0.0,team
categorical__team_5IDO,0.0,team
categorical__team_5M,0.0,team
categorical__team_5MS,0.0,team
categorical__team_5ORD,0.0,team
categorical__team_5RS,0.0,team
categorical__team_5S,0.0,team
categorical__team_5Sta,0.0,team
categorical__team_5man,0.0,team
categorical__team_5op,0.0,team
categorical__team_5up,0.0,team
categorical__team_600,0.0,team
categorical__team_604,0.0,team
categorical__team_6K,0.0,team
categorical__team_717,0.0,team
categorical__team_74,0.0,team
categorical__team_7AM,0.0,team
categorical__team_7Kra,0.0,team
categorical__team_7S,0.0,team
categorical__team_7UP,0.0,team
categorical__team_7eve,0.0,team
categorical__team_7sg,0.0,team
categorical__team_7ven,0.0,team
categorical__team_86,0.0,team
categorical__team_90s,0.0,team
categorical__team_95x,0.0,team
categorical__team_969,0.0,team
categorical__team_99,0.0,team
categorical__team_99C,0.0,team
categorical__team_AA,0.0,team
categorical__team_AAA,0.0,team
categorical__team_AAS,0.0,team
categorical__team_ABB,0.0,team
categorical__team_ABC,0.0,team
categorical__team_ABL,0.0,team
categorical__team_ABX,0.0,team
categorical__team_ACE,0.0,team
categorical__team_AD I,0.0,team
categorical__team_ADEP,0.0,team
categorical__team_ADHD,0.0,team
categorical__team_ADT,0.0,team
categorical__team_AE,0.0,team
categorical__team_AEE,0.0,team
categorical__team_AEEC,0.0,team
categorical__team_AEL,0.0,team
categorical__team_AEP,0.0,team
categorical__team_AER,0.0,team
categorical__team_AF,0.0,team
categorical__team_AG,0.0,team
categorical__team_AGAi,0.0,team
categorical__team_AGF,0.0,team
categorical__team_AGG,0.0,team
categorical__team_AGS,0.0,team
categorical__team_AHEK,0.0,team
categorical__team_AI,0.0,team
categorical__team_AIGY,0.0,team
categorical__team_AING,0.0,team
categorical__team_AJF,0.0,team
categorical__team_AK5,0.0,team
categorical__team_AKA,0.0,team
categorical__team_AKAT,0.0,team
categorical__team_AKM,0.0,team
categorical__team_AKP,0.0,team
categorical__team_AKQJ,0.0,team
categorical__team_AKR,0.0,team
categorical__team_AKV,0.0,team
categorical__team_ALC,0.0,team
categorical__team_ALL,0.0,team
categorical__team_ALTI,0.0,team
categorical__team_ALTY,0.0,team
categorical__team_AMAZ,0.0,team
categorical__team_AME,0.0,team
categorical__team_AMG,0.0,team
categorical__team_AMR,0.0,team
categorical__team_AMT,0.0,team
categorical__team_AMV,0.0,team
categorical__team_AMZ,0.0,team
categorical__team_ANB,0.0,team
categorical__team_ANBU,0.0,team
categorical__team_ANM,0.0,team
categorical__team_ANO,0.0,team
categorical__team_AOE,0.0,team
categorical__team_APH,0.0,team
categorical__team_APLO,0.0,team
categorical__team_AQ,0.0,team
categorical__team_AR,0.0,team
categorical__team_AR e,0.0,team
categorical__team_ARC,0.0,team
categorical__team_ARCH,0.0,team
categorical__team_AREA,0.0,team
categorical__team_ARES,0.0,team
categorical__team_ARF,0.0,team
categorical__team_ARMU,0.0,team
categorical__team_ARX,0.0,team
categorical__team_AS07,0.0,team
categorical__team_ASAP,0.0,team
categorical__team_ASG,0.0,team
categorical__team_ASP,0.0,team
categorical__team_ASTRO,0.0,team
categorical__team_AT,0.0,team
categorical__team_ATK,0.0,team
categorical__team_ATR,0.0,team
categorical__team_ATRO,0.0,team
categorical__team_ATS,0.0,team
categorical__team_AUR,0.0,team
categorical__team_AUS,0.0,team
categorical__team_AUTH,0.0,team
categorical__team_AUTO,0.0,team
categorical__team_AVEZ,0.0,team
categorical__team_AVM,0.0,team
categorical__team_AVN,0.0,team
categorical__team_AVST,0.0,team
categorical__team_AWAR,0.0,team
categorical__team_AWS,0.0,team
categorical__team_AX,0.0,team
categorical__team_AXI,0.0,team
categorical__team_AZU,0.0,team
categorical__team_Abec,0.0,team
categorical__team_Able,0.0,team
categorical__team_Abov,0.0,team
categorical__team_Abso,0.0,team
categorical__team_Abst,0.0,team
categorical__team_Acac,0.0,team
categorical__team_Ace1,0.0,team
categorical__team_Achi,0.0,team
categorical__team_Acid,0.0,team
categorical__team_Acri,0.0,team
categorical__team_Actu,0.0,team
categorical__team_Adin,0.0,team
categorical__team_Admi,0.0,team
categorical__team_Aeon,0.0,team
categorical__team_Aete,0.0,team
categorical__team_Afri,0.0,team
categorical__team_Aggi,0.0,team
categorical__team_Agon,0.0,team
categorical__team_Aim,0.0,team
categorical__team_Aimb,0.0,team
categorical__team_Air,0.0,team
