n,mae,rmse,r2,spearman,target,model,split,candidate,n_windows,mae_std,baseline_mae,mae_improvement_vs_global_mean
11270.0,0.48161228179337695,0.7131889376547109,0.0947908690021585,0.32179542734286043,kda_all,xgb_huber_log,rolling_3,,,,,
11270.0,0.5269756390389251,0.7501351839788162,-0.0014258587376898557,,kda_all,global_mean,rolling_3,xgb_huber_log,,,,
10639.0,0.6054547113715181,1.1205714888392821,0.07190436379391274,0.4454386057083093,kda_all,xgb_quantile_raw,rolling_1,,,,,
10639.0,0.6884042501351862,1.1636292607566,-0.0007897784802968211,,kda_all,global_mean,rolling_1,xgb_quantile_raw,,,,
10647.0,0.5430221387273566,0.9083324011610195,0.14696475026582723,0.5234352218119146,kda_all,xgb_quantile_raw,rolling_2,,,,,
10647.0,0.6483068811396502,0.9834977987051015,-5.5608460449052544e-05,,kda_all,global_mean,rolling_2,xgb_quantile_raw,,,,
11270.0,0.48439901251186174,0.7317756807544121,0.04699391299049316,0.307249139253132,kda_all,xgb_quantile_raw,rolling_3,,,,,
11270.0,0.5269756390389251,0.7501351839788162,-0.0014258587376898557,,kda_all,global_mean,rolling_3,xgb_quantile_raw,,,,
,0.5331061746615764,0.8835620070017592,,,kda_all,xgb_huber_log,rolling_mean,,3.0,0.04678088185076554,0.6212289234379206,0.08812274877634418
,0.5442919542035788,0.9202265235849046,,,kda_all,xgb_quantile_raw,rolling_mean,,3.0,0.04942893808359424,0.6212289234379206,0.07693696923434179
16957.0,0.513245479082806,0.7392755096043928,0.09157328404785325,0.30589344279444286,kda_all,rf_raw,validation,,,,,
16957.0,0.49721798775810017,0.7364516069281318,0.0985000903244373,0.31354983602791653,kda_all,rf_log,validation,,,,,
16957.0,0.5097367340183051,0.7329227803880193,0.10711875602612664,0.3120209914703683,kda_all,xgb_raw,validation,,,,,
16957.0,0.4965266715917258,0.7346025925387333,0.10302121230340766,0.3205121077094696,kda_all,xgb_log,validation,,,,,
16957.0,0.5113610969474098,0.7345490150409151,0.10315204801513134,0.3097253076740727,kda_all,xgb_tuned_raw,validation,,,,,
16957.0,0.49757283806465163,0.7364346952395601,0.09854149348120989,0.3180078554481906,kda_all,xgb_tuned_log,validation,,,,,
16957.0,0.4979463526885791,0.7340331193713193,0.10441137173152037,0.3172819263835743,kda_all,xgb_huber_raw,validation,,,,,
16957.0,0.49584813098830743,0.7362157693810492,0.09907738144095424,0.3204730077701234,kda_all,xgb_huber_log,validation,,,,,
16957.0,0.4962692180604487,0.754872972600987,0.052836373452797014,0.3053897383081232,kda_all,xgb_quantile_raw,validation,,,,,
17840.0,0.4845948169664302,0.7492939999829928,0.011696639035854162,0.2121907225322645,kda_all,xgb_huber_log,test,,,,,
16957.0,0.5418062237916405,0.7763291084646139,-0.0017722564517617112,,kda_all,global_mean,validation,,,,,
16957.0,0.521123886764244,0.7977646904604659,-0.05785679446782099,,kda_all,global_median,validation,,,,,
16957.0,0.5789570349110094,0.8304193120219524,-0.14623097457187129,0.16864049728948508,kda_all,player_historical_mean,validation,,,,,
16957.0,0.5789570349110094,0.8304193120219524,-0.14623097457187129,0.16864049728948508,kda_all,player_rolling_mean,validation,,,,,
16957.0,0.578726322913296,0.8039218803585919,-0.07424899814893182,0.24552161170072406,kda_all,elo_only,validation,,,,,
16957.0,0.557217466251008,0.7778182230000525,-0.005619038221278405,0.2681944122393955,kda_all,team_opponent_historical,validation,,,,,
17840.0,0.508556628960252,0.7544371642434248,-0.0019173801284040337,,kda_all,global_mean,test,,,,,
17840.0,0.4928013607438072,0.7749401017561797,-0.05711450804738272,,kda_all,global_median,test,,,,,
17840.0,0.5449736738898838,0.8079643265087803,-0.14913257118864198,0.13963372629713128,kda_all,player_historical_mean,test,,,,,
17840.0,0.5449736738898838,0.8079643265087803,-0.14913257118864198,0.13963372629713128,kda_all,player_rolling_mean,test,,,,,
17840.0,0.5450185532751916,0.7876446868393291,-0.09205989394134662,0.16739660449947039,kda_all,elo_only,test,,,,,
17840.0,0.5349354174750791,0.7754516710330229,-0.05851065673286948,0.17558437255060078,kda_all,team_opponent_historical,test,,,,,
