team,count,mean,median
YMCA,30,1.0473333333333334,1.025
Aspi,165,1.047030303030303,1.04
CE,140,1.0470000000000002,1.08
PLS,65,1.0461538461538462,1.03
TSR,25,1.0452,1.06
СС,95,1.0450526315789475,0.96
HEET,190,1.0443684210526316,1.005
Sør,35,1.0442857142857143,1.02
bene,25,1.044,1.02
LNG,80,1.043625,1.0350000000000001
jn,55,1.0434545454545454,0.97
5 Yu,15,1.0433333333333334,0.99
Bad,25,1.0428,0.98
ENVY,90,1.0416666666666667,1.01
NASR,100,1.0414999999999999,1.0550000000000002
NP,140,1.0407857142857144,0.995
Arch,149,1.0405369127516777,1.04
N1C3,20,1.0405,1.01
GMT,175,1.0403428571428572,1.02
w0wC,65,1.0403076923076924,1.0
ECHO,15,1.04,1.08
forZ,280,1.04,1.02
TCE,20,1.04,1.0350000000000001
Hex,20,1.0394999999999999,0.915
Meyh,35,1.0394285714285716,1.04
ALL,345,1.0391304347826087,1.01
XFlo,65,1.0387692307692307,1.03
OLD,50,1.0384,0.965
WILD,40,1.0382500000000001,0.97
RARE,190,1.0380526315789473,0.99
TBG,320,1.03684375,1.0
PvS,55,1.0363636363636364,0.95
Aimb,15,1.036,0.94
WHO,65,1.036,0.96
MORE,75,1.0350666666666666,1.04
SHIN,30,1.0346666666666666,1.05
KPI,160,1.0338749999999999,0.995
T1,165,1.0333939393939393,1.01
LB,100,1.0332999999999999,0.99
SES,270,1.0330370370370372,1.025
H$,25,1.0328,1.05
BJK,240,1.0327083333333333,1.0150000000000001
FTW,75,1.0325333333333333,1.0
MANG,130,1.0324615384615385,1.0150000000000001
BAYE,20,1.032,0.995
Gief,85,1.031764705882353,1.02
FOX,55,1.0316363636363637,1.0
Luck,95,1.0313684210526317,0.97
TL,2050,1.0312146341463413,1.02
Aeon,35,1.0311428571428571,1.01
FXG,75,1.0310666666666666,1.01
MCK,95,1.0310526315789474,0.97
TEN,230,1.0309565217391305,1.0
EnM,45,1.030888888888889,1.03
X7,55,1.0307272727272727,0.96
GEN,140,1.0307142857142857,1.045
4x3,155,1.0301935483870968,1.03
LPU,20,1.03,0.965
FOXA,15,1.03,0.99
SEN,365,1.029972602739726,1.02
Star,30,1.0296666666666667,0.965
Moni,10,1.029,1.05
furi,55,1.0289090909090908,1.01
dog$,25,1.0288,1.01
NRG,215,1.0285581395348837,1.02
TH,1365,1.0282490842490841,1.01
IB,15,1.028,0.93
eXiLe,75,1.0274666666666668,1.0
VNG,100,1.0272,1.02
TDI,30,1.027,0.985
OPTC,315,1.026920634920635,1.03
Polo,60,1.0265,1.005
PS,50,1.0262,1.05
MAJT,30,1.026,1.0350000000000001
NOX,20,1.0255,0.985
NOM,80,1.02475,0.985
BIG,475,1.0247157894736842,1.02
RIX,335,1.0243880597014925,1.01
KLAT,75,1.0237333333333334,0.98
NIP,245,1.023265306122449,0.98
VIT,1415,1.0227773851590105,1.0
ZZ,225,1.0225333333333333,1.01
NORG,55,1.0223636363636364,1.01
ZDL,85,1.0223529411764707,1.04
MIBR,95,1.0222105263157895,1.03
nW,20,1.0215,0.89
MK,35,1.0214285714285714,1.07
ACE,555,1.021027027027027,1.01
SHN,100,1.0208,1.0350000000000001
36NU,130,1.02,0.99
EX0,50,1.0186,1.05
Bull,40,1.01725,0.94
Ameg,20,1.0154999999999998,0.88
KRX,365,1.0153972602739727,1.0
GGO,95,1.0153684210526315,0.98
Puls,20,1.0150000000000001,1.02
Hajty,25,1.0148000000000001,0.95
FatF,25,1.0148000000000001,0.88
BDS,175,1.0148,0.98
PRX,605,1.0145785123966944,1.01
EF,290,1.0145517241379312,0.98
TS,45,1.0142222222222221,0.99
AvgJ,135,1.0135555555555555,1.01
TAN,20,1.0135,0.94
JL,65,1.0133846153846156,1.03
Anyw,95,1.0130526315789472,1.0
Giga,20,1.0130000000000001,1.065
Sp,45,1.012888888888889,1.02
cis,40,1.01275,0.955
ADEP,35,1.0122857142857142,1.0
mcdo,20,1.0115,0.85
-ws-,65,1.0112307692307694,0.99
BT,25,1.0108,0.95
BTS,170,1.0106470588235295,0.99
FAR,65,1.0104615384615385,1.06
H2O,55,1.0101818181818183,1.02
IC9,20,1.01,0.985
Good,40,1.00975,0.955
RYLS,20,1.0095,0.95
GS,155,1.009290322580645,0.97
YA,45,1.0091111111111113,1.04
Tact,150,1.0089333333333335,0.995
Air,10,1.008,0.955
FUT,1320,1.0073560606060605,0.99
DKOB,25,1.0064,0.96
Dame,110,1.0063636363636363,1.01
C9,50,1.0058,0.965
keba,25,1.0056,0.94
With,30,1.005,0.86
DBG,95,1.0048421052631578,0.98
Risu,15,1.004,0.85
NAVI,1175,1.003540425531915,0.98
WMF,40,1.0035,0.955
Mant,60,1.003,0.97
86,55,1.0023636363636363,1.01
BEE,60,1.0021666666666667,0.98
AX,150,1.0012666666666667,0.97
VPK,45,1.001111111111111,1.03
SGE,60,1.0010000000000001,0.98
MRS,140,1.0009285714285714,0.985
7sg,160,1.0006875,1.0150000000000001
orgl,15,1.0,0.95
next,55,0.9996363636363635,0.91
szme,20,0.9984999999999999,0.975
VMS,85,0.9983529411764706,0.99
IHNK,20,0.998,0.97
