region,match_id,match_url,event_id,match_date,match_time
AMERICAS,429391,https://www.vlr.gg/429391/gentle-mates-vs-koi-champions-tour-2025-emea-kickoff-lr1,2276,2025-01-25,3:10 AM
AMERICAS,429388,https://www.vlr.gg/429388/bbl-esports-vs-team-heretics-champions-tour-2025-emea-kickoff-ubsf,2276,2025-01-30,12:00 AM
AMERICAS,429387,https://www.vlr.gg/429387/fut-esports-vs-team-vitality-champions-tour-2025-emea-kickoff-ubsf,2276,2025-01-30,2:25 AM
AMERICAS,429395,https://www.vlr.gg/429395/gentle-mates-vs-fnatic-champions-tour-2025-emea-kickoff-lr2,2276,2025-01-31,12:00 AM
AMERICAS,429396,https://www.vlr.gg/429396/giantx-vs-team-liquid-champions-tour-2025-emea-kickoff-lr2,2276,2025-01-31,2:15 AM
AMERICAS,429397,https://www.vlr.gg/429397/fut-esports-vs-fnatic-champions-tour-2025-emea-kickoff-lr3,2276,2025-02-01,12:00 AM
AMERICAS,429398,https://www.vlr.gg/429398/bbl-esports-vs-team-liquid-champions-tour-2025-emea-kickoff-lr3,2276,2025-02-01,2:15 AM
AMERICAS,429389,https://www.vlr.gg/429389/team-vitality-vs-team-heretics-champions-tour-2025-emea-kickoff-ubf,2276,2025-02-08,12:00 AM
AMERICAS,429400,https://www.vlr.gg/429400/fut-esports-vs-team-liquid-champions-tour-2025-emea-kickoff-lr4,2276,2025-02-08,2:10 AM
AMERICAS,429401,https://www.vlr.gg/429401/team-heretics-vs-team-liquid-champions-tour-2025-emea-kickoff-lbf,2276,2025-02-09,12:00 AM
AMERICAS,429390,https://www.vlr.gg/429390/team-vitality-vs-team-liquid-champions-tour-2025-emea-kickoff-gf,2276,2025-02-10,12:00 AM
AMERICAS,353153,https://www.vlr.gg/353153/fut-esports-vs-koi-champions-tour-2024-emea-stage-2-w1,2094,2024-06-19,1:00 AM
AMERICAS,353154,https://www.vlr.gg/353154/bbl-esports-vs-fnatic-champions-tour-2024-emea-stage-2-w1,2094,2024-06-19,11:00 PM
AMERICAS,353155,https://www.vlr.gg/353155/team-heretics-vs-natus-vincere-champions-tour-2024-emea-stage-2-w1,2094,2024-06-20,2:30 AM
AMERICAS,353157,https://www.vlr.gg/353157/giantx-vs-gentle-mates-champions-tour-2024-emea-stage-2-w1,2094,2024-06-20,11:00 PM
AMERICAS,353156,https://www.vlr.gg/353156/team-vitality-vs-team-liquid-champions-tour-2024-emea-stage-2-w1,2094,2024-06-21,2:10 AM
AMERICAS,353159,https://www.vlr.gg/353159/bbl-esports-vs-karmine-corp-champions-tour-2024-emea-stage-2-w1,2094,2024-06-21,11:00 PM
AMERICAS,353158,https://www.vlr.gg/353158/natus-vincere-vs-fut-esports-champions-tour-2024-emea-stage-2-w1,2094,2024-06-22,12:50 AM
AMERICAS,353202,https://www.vlr.gg/353202/koi-vs-giantx-champions-tour-2024-emea-stage-2-w2,2094,2024-06-26,1:00 AM
AMERICAS,353161,https://www.vlr.gg/353161/team-heretics-vs-fut-esports-champions-tour-2024-emea-stage-2-w2,2094,2024-06-26,11:00 PM
AMERICAS,353160,https://www.vlr.gg/353160/fnatic-vs-team-vitality-champions-tour-2024-emea-stage-2-w2,2094,2024-06-27,1:15 AM
AMERICAS,353162,https://www.vlr.gg/353162/bbl-esports-vs-team-liquid-champions-tour-2024-emea-stage-2-w2,2094,2024-06-27,11:00 PM
AMERICAS,353163,https://www.vlr.gg/353163/natus-vincere-vs-giantx-champions-tour-2024-emea-stage-2-w2,2094,2024-06-28,1:00 AM
AMERICAS,353164,https://www.vlr.gg/353164/koi-vs-gentle-mates-champions-tour-2024-emea-stage-2-w2,2094,2024-06-28,11:00 PM
AMERICAS,353165,https://www.vlr.gg/353165/fnatic-vs-karmine-corp-champions-tour-2024-emea-stage-2-w2,2094,2024-06-29,1:30 AM
AMERICAS,353166,https://www.vlr.gg/353166/team-heretics-vs-giantx-champions-tour-2024-emea-stage-2-w3,2094,2024-07-03,11:00 PM
AMERICAS,353167,https://www.vlr.gg/353167/fut-esports-vs-gentle-mates-champions-tour-2024-emea-stage-2-w3,2094,2024-07-04,2:25 AM
AMERICAS,353168,https://www.vlr.gg/353168/koi-vs-natus-vincere-champions-tour-2024-emea-stage-2-w3,2094,2024-07-04,11:00 PM
AMERICAS,353169,https://www.vlr.gg/353169/team-liquid-vs-karmine-corp-champions-tour-2024-emea-stage-2-w3,2094,2024-07-05,1:05 AM
AMERICAS,353170,https://www.vlr.gg/353170/bbl-esports-vs-team-vitality-champions-tour-2024-emea-stage-2-w3,2094,2024-07-05,11:00 PM
AMERICAS,353171,https://www.vlr.gg/353171/team-heretics-vs-gentle-mates-champions-tour-2024-emea-stage-2-w3,2094,2024-07-06,2:00 AM
AMERICAS,353172,https://www.vlr.gg/353172/fut-esports-vs-giantx-champions-tour-2024-emea-stage-2-w4,2094,2024-07-10,1:00 AM
AMERICAS,353173,https://www.vlr.gg/353173/team-heretics-vs-koi-champions-tour-2024-emea-stage-2-w4,2094,2024-07-10,11:00 PM
AMERICAS,353174,https://www.vlr.gg/353174/fnatic-vs-team-liquid-champions-tour-2024-emea-stage-2-w4,2094,2024-07-11,2:20 AM
AMERICAS,353175,https://www.vlr.gg/353175/natus-vincere-vs-gentle-mates-champions-tour-2024-emea-stage-2-w4,2094,2024-07-11,11:00 PM
AMERICAS,353203,https://www.vlr.gg/353203/team-vitality-vs-karmine-corp-champions-tour-2024-emea-stage-2-w4,2094,2024-07-12,2:10 AM
AMERICAS,371278,https://www.vlr.gg/371278/team-vitality-vs-natus-vincere-champions-tour-2024-emea-stage-2-ko,2094,2024-07-15,11:00 PM
AMERICAS,371279,https://www.vlr.gg/371279/fnatic-vs-karmine-corp-champions-tour-2024-emea-stage-2-ko,2094,2024-07-16,1:50 AM
AMERICAS,371280,https://www.vlr.gg/371280/team-heretics-vs-team-vitality-champions-tour-2024-emea-stage-2-ubsf,2094,2024-07-16,11:00 PM
AMERICAS,371281,https://www.vlr.gg/371281/fut-esports-vs-fnatic-champions-tour-2024-emea-stage-2-ubsf,2094,2024-07-17,2:45 AM
AMERICAS,371282,https://www.vlr.gg/371282/team-vitality-vs-fnatic-champions-tour-2024-emea-stage-2-ubf,2094,2024-07-17,11:00 PM
